t,x,y,yaw,estado,waypoint,dist,front_clear,path_len,v,w
127.100,-1.8862,1.9649,2.6364,FOLLOW,azul,4.1340,0.490,100,0.0000,-1.0000
127.200,-1.8863,1.9649,2.6287,FOLLOW,azul,4.1340,0.494,100,0.0000,-1.0000
127.300,-1.8864,1.9650,2.5247,FOLLOW,azul,4.1341,0.494,100,0.0000,-1.0000
127.400,-1.8866,1.9651,2.4239,FOLLOW,azul,4.1342,0.480,100,0.0000,-1.0000
127.500,-1.8867,1.9653,2.3230,FOLLOW,azul,4.1343,0.480,100,0.0000,-1.0000
127.600,-1.8869,1.9654,2.2214,FOLLOW,azul,4.1344,0.447,100,0.0000,-1.0000
127.700,-1.8870,1.9656,2.1195,FOLLOW,azul,4.1346,0.447,100,0.0000,-1.0000
127.800,-1.8871,1.9657,2.0176,FOLLOW,azul,4.1347,0.394,100,0.0000,-1.0000
127.900,-1.8872,1.9659,1.9157,FOLLOW,azul,4.1349,0.394,100,0.0000,-1.0000
128.000,-1.8872,1.9661,1.8139,FOLLOW,azul,4.1351,0.390,100,0.0000,-1.0000
128.100,-1.8873,1.9663,1.7121,FOLLOW,azul,4.1353,0.390,100,0.0000,-1.0000
128.200,-1.8873,1.9664,1.6442,FOLLOW,azul,4.1354,0.392,100,0.0000,-1.0000
128.300,-1.8873,1.9666,1.5423,FOLLOW,azul,4.1356,0.392,100,0.0000,-1.0000
128.400,-1.8873,1.9668,1.4405,FOLLOW,azul,4.1358,0.405,100,0.0000,-1.0000
128.500,-1.8873,1.9670,1.3387,FOLLOW,azul,4.1360,0.405,100,0.0000,-1.0000
128.600,-1.8873,1.9671,1.2368,FOLLOW,azul,4.1361,0.399,100,0.0000,-1.0000
128.700,-1.8872,1.9673,1.1350,FOLLOW,azul,4.1363,0.399,100,0.0000,-1.0000
128.800,-1.8871,1.9675,1.0332,FOLLOW,azul,4.1365,0.398,100,0.0000,-1.0000
128.900,-1.8870,1.9677,0.9313,FOLLOW,azul,4.1367,0.398,100,0.0000,-1.0000
129.000,-1.8869,1.9678,0.8295,FOLLOW,azul,4.1368,0.419,100,0.0000,-1.0000
129.100,-1.8868,1.9680,0.7277,FOLLOW,azul,4.1370,0.419,100,0.0000,-1.0000
129.200,-1.8866,1.9681,0.6259,FOLLOW,azul,4.1371,0.457,100,0.0000,-1.0000
129.300,-1.8865,1.9682,0.5240,FOLLOW,azul,4.1373,0.457,100,0.0000,-1.0000
129.400,-1.8863,1.9683,0.4222,FOLLOW,azul,4.1374,0.537,100,0.2000,-1.0000
129.500,-1.8829,1.9696,0.3197,FOLLOW,azul,4.1389,0.537,100,0.2000,-0.9266
129.600,-1.8693,1.9732,0.2168,FOLLOW,azul,4.1435,0.642,100,0.2000,-0.8085
129.700,-1.8491,1.9767,0.1306,FOLLOW,azul,4.1484,0.642,100,0.2000,-0.6521
129.800,-1.8287,1.9786,0.0580,FOLLOW,azul,4.1519,0.815,99,0.2000,-0.5801
129.900,-1.8150,1.9791,0.0142,FOLLOW,azul,4.1535,0.815,99,0.2000,-0.5384
130.000,-1.7945,1.9789,-0.0403,FOLLOW,azul,4.1550,1.100,99,0.2000,-0.4109
130.100,-1.7741,1.9775,-0.0921,FOLLOW,azul,4.1554,1.100,98,0.2000,-0.3571
130.200,-1.7537,1.9752,-0.1319,FOLLOW,azul,4.1551,1.533,98,0.2000,-0.2460
130.300,-1.7335,1.9722,-0.1595,FOLLOW,azul,4.1542,1.533,98,0.2000,-0.2187
130.400,-1.7133,1.9687,-0.1831,FOLLOW,azul,4.1528,2.056,97,0.2000,-0.1968
130.500,-1.6933,1.9648,-0.2051,FOLLOW,azul,4.1511,2.056,97,0.2000,-0.1049
130.600,-1.6733,1.9605,-0.2183,FOLLOW,azul,4.1491,2.425,97,0.2000,-0.0912
130.700,-1.6534,1.9560,-0.2284,FOLLOW,azul,4.1470,2.425,96,0.2000,-0.0199
130.800,-1.6335,1.9513,-0.2364,FOLLOW,azul,4.1448,2.380,96,0.2000,-0.0089
130.900,-1.6137,1.9465,-0.2368,FOLLOW,azul,4.1427,2.380,96,0.2000,0.0431
131.000,-1.5939,1.9417,-0.2338,FOLLOW,azul,4.1406,2.355,94,0.2000,0.0413
131.100,-1.5740,1.9370,-0.2297,FOLLOW,azul,4.1387,2.355,94,0.2000,0.0377
131.200,-1.5542,1.9324,-0.2257,FOLLOW,azul,4.1370,2.310,94,0.2000,0.0795
131.300,-1.5343,1.9279,-0.2189,FOLLOW,azul,4.1355,2.310,93,0.2000,0.0742
131.400,-1.5144,1.9235,-0.2114,FOLLOW,azul,4.1343,2.269,93,0.2000,0.1039
131.500,-1.4944,1.9194,-0.2017,FOLLOW,azul,4.1333,2.269,93,0.2000,0.0955
131.600,-1.4811,1.9167,-0.1949,FOLLOW,azul,4.1328,2.227,92,0.2000,0.0893
131.700,-1.4611,1.9128,-0.1852,FOLLOW,azul,4.1324,2.227,92,0.2000,0.1098
131.800,-1.4410,1.9092,-0.1748,FOLLOW,azul,4.1322,2.189,92,0.2000,0.1008
131.900,-1.4209,1.9057,-0.1644,FOLLOW,azul,4.1323,2.189,91,0.2000,-0.0972
132.000,-1.4008,1.9024,-0.1692,FOLLOW,azul,4.1328,2.148,91,0.2000,-0.0963
132.100,-1.3807,1.8985,-0.1902,FOLLOW,azul,4.1326,2.148,91,0.2000,-0.0686
132.200,-1.3607,1.8944,-0.2052,FOLLOW,azul,4.1324,2.112,90,0.2000,0.0020
132.300,-1.3407,1.8902,-0.2122,FOLLOW,azul,4.1322,2.112,90,0.2000,0.0128
132.400,-1.3208,1.8860,-0.2097,FOLLOW,azul,4.1321,2.050,90,0.2000,0.0096
