t,x,y,yaw,estado,waypoint,dist,front_clear,path_len,v,w
192.100,-1.8826,1.9625,2.6334,FOLLOW,laranja,0.7715,0.493,70,0.0000,-1.0000
192.200,-1.8826,1.9625,2.6256,FOLLOW,laranja,0.7715,0.487,70,0.0000,-1.0000
192.300,-1.8828,1.9626,2.5217,FOLLOW,laranja,0.7715,0.487,70,0.0000,-1.0000
192.400,-1.8829,1.9627,2.4210,FOLLOW,laranja,0.7716,0.472,70,0.0000,-1.0000
192.500,-1.8831,1.9628,2.3202,FOLLOW,laranja,0.7717,0.472,70,0.0000,-1.0000
192.600,-1.8832,1.9629,2.2186,FOLLOW,laranja,0.7718,0.436,70,0.0000,-1.0000
192.700,-1.8833,1.9631,2.1167,FOLLOW,laranja,0.7720,0.436,70,0.0000,-1.0000
192.800,-1.8834,1.9632,2.0488,FOLLOW,laranja,0.7721,0.403,70,0.0000,-1.0000
192.900,-1.8835,1.9634,1.9470,FOLLOW,laranja,0.7722,0.403,70,0.0000,-1.0000
193.000,-1.8835,1.9635,1.8452,FOLLOW,laranja,0.7724,0.397,70,0.0000,-1.0000
193.100,-1.8836,1.9637,1.7434,FOLLOW,laranja,0.7725,0.397,70,0.0000,-1.0000
193.200,-1.8836,1.9639,1.6416,FOLLOW,laranja,0.7727,0.390,70,0.0000,-1.0000
193.300,-1.8837,1.9641,1.5398,FOLLOW,laranja,0.7729,0.390,70,0.0000,-1.0000
193.400,-1.8837,1.9643,1.4380,FOLLOW,laranja,0.7731,0.401,70,0.0000,-1.0000
193.500,-1.8836,1.9645,1.3362,FOLLOW,laranja,0.7733,0.401,70,0.0000,-1.0000
193.600,-1.8836,1.9647,1.2345,FOLLOW,laranja,0.7735,0.402,70,0.0000,-1.0000
193.700,-1.8835,1.9649,1.1327,FOLLOW,laranja,0.7737,0.402,70,0.0000,-1.0000
193.800,-1.8835,1.9650,1.0309,FOLLOW,laranja,0.7739,0.407,70,0.0000,-1.0000
193.900,-1.8834,1.9652,0.9291,FOLLOW,laranja,0.7740,0.407,70,0.0000,-1.0000
194.000,-1.8833,1.9654,0.8273,FOLLOW,laranja,0.7742,0.435,71,0.0000,-1.0000
