t,x,y,yaw,estado,waypoint,dist,front_clear,path_len,v,w
57.500,-1.8905,1.9559,2.5284,FOLLOW,vermelho,5.7605,0.487,101,0.0000,-1.0000
57.600,-1.8905,1.9559,2.5207,FOLLOW,vermelho,5.7605,0.500,101,0.0000,-1.0000
57.700,-1.8906,1.9560,2.4167,FOLLOW,vermelho,5.7607,0.500,101,0.0000,-1.0000
57.800,-1.8908,1.9561,2.3160,FOLLOW,vermelho,5.7609,0.464,101,0.0000,-1.0000
57.900,-1.8909,1.9562,2.2151,FOLLOW,vermelho,5.7611,0.464,101,0.0000,-1.0000
58.000,-1.8910,1.9564,2.1135,FOLLOW,vermelho,5.7613,0.428,101,0.0000,-1.0000
58.100,-1.8911,1.9566,2.0115,FOLLOW,vermelho,5.7615,0.428,101,0.0000,-1.0000
58.200,-1.8912,1.9567,1.9096,FOLLOW,vermelho,5.7617,0.420,101,0.0000,-1.0000
58.300,-1.8913,1.9569,1.8077,FOLLOW,vermelho,5.7618,0.420,101,0.0000,-1.0000
58.400,-1.8913,1.9571,1.7059,FOLLOW,vermelho,5.7620,0.401,101,0.0000,-1.0000
58.500,-1.8913,1.9572,1.6380,FOLLOW,vermelho,5.7621,0.401,101,0.0000,-1.0000
58.600,-1.8914,1.9574,1.5361,FOLLOW,vermelho,5.7622,0.410,101,0.0000,-1.0000
58.700,-1.8914,1.9576,1.4343,FOLLOW,vermelho,5.7624,0.410,101,0.0000,-1.0000
58.800,-1.8913,1.9578,1.3324,FOLLOW,vermelho,5.7625,0.405,101,0.0000,-1.0000
58.900,-1.8913,1.9580,1.2306,FOLLOW,vermelho,5.7626,0.405,101,0.0000,-1.0000
59.000,-1.8912,1.9582,1.1287,FOLLOW,vermelho,5.7627,0.398,101,0.0000,-1.0000
59.100,-1.8912,1.9583,1.0269,FOLLOW,vermelho,5.7628,0.398,101,0.0000,-1.0000
59.200,-1.8911,1.9585,0.9251,FOLLOW,vermelho,5.7628,0.427,101,0.0000,-1.0000
59.300,-1.8909,1.9587,0.8232,FOLLOW,vermelho,5.7628,0.427,101,0.0000,-1.0000
59.400,-1.8908,1.9588,0.7214,FOLLOW,vermelho,5.7629,0.445,101,0.0000,-1.0000
59.500,-1.8907,1.9589,0.6195,FOLLOW,vermelho,5.7629,0.445,101,0.0000,-1.0000
59.600,-1.8905,1.9591,0.5177,FOLLOW,vermelho,5.7628,0.491,101,0.2000,-1.0000
59.700,-1.8872,1.9606,0.4151,FOLLOW,vermelho,5.7617,0.491,101,0.2000,-1.0000
59.800,-1.8741,1.9656,0.3123,FOLLOW,vermelho,5.7560,0.582,101,0.2000,-0.9095
59.900,-1.8542,1.9709,0.2168,FOLLOW,vermelho,5.7459,0.582,101,0.2000,-0.7505
60.000,-1.8340,1.9744,0.1297,FOLLOW,vermelho,5.7344,0.723,101,0.2000,-0.6617
60.100,-1.8135,1.9764,0.0601,FOLLOW,vermelho,5.7216,0.723,101,0.2000,-0.5971
60.200,-1.7999,1.9769,0.0169,FOLLOW,vermelho,5.7125,0.958,99,0.2000,-0.4814
60.300,-1.7794,1.9767,-0.0410,FOLLOW,vermelho,5.6982,0.958,99,0.2000,-0.4221
